game_id,season_year,game_label,game_subtype,season_type_slug,game_status,game_status_text,date_utc,time_utc,datetime_utc,date_est,time_est,datetime_est,home_team_id,home_tricode,home_city,home_name,away_team_id,away_tricode,away_city,away_name,arena_name,arena_city,arena_state,broadcasters_national
401866150,2025,Preseason,STD,preseason,3,Final,2026-04-25,19:00,2026-04-25 19:00:00+00:00,2026-04-25,15:00,2026-04-25 15:00:00-04:00,9,NYL,New York,Liberty,5,IND,Indiana,Fever,Barclays Center,Brooklyn,NY,ION | Fox 5 New York | Liberty Live
401867790,2025,Preseason,STD,preseason,3,Final,2026-04-25,19:00,2026-04-25 19:00:00+00:00,2026-04-25,15:00,2026-04-25 15:00:00-04:00,6,LAS,Los Angeles,Sparks,17476,NIGER,Nigeria,NIGERIA,Viejas Arena,San Diego,CA,Spectrum Sports Net
401866152,2025,Preseason,STD,preseason,3,Final,2026-04-25,20:00,2026-04-25 20:00:00+00:00,2026-04-25,16:00,2026-04-25 16:00:00-04:00,11,PHX,Phoenix,Mercury,19,CHI,Chicago,Sky,Sanford Pentagon,Sioux Falls,SD,CW26 | Arizona's Family 3TV
401866513,2025,Preseason,STD,preseason,3,Final,2026-04-25,23:30,2026-04-25 23:30:00+00:00,2026-04-25,19:30,2026-04-25 19:30:00-04:00,16,WSH,Washington,Mystics,8,MIN,Minnesota,Lynx,CareFirst Arena,Washington,DC,MNMT | Victory+
401866514,2025,Preseason,STD,preseason,3,Final,2026-04-26,00:30,2026-04-26 00:30:00+00:00,2026-04-25,20:30,2026-04-25 20:30:00-04:00,129689,GSV,Golden State,Valkyries,14,SEA,Seattle,Storm,Chase Center,San Francisco,CA,KPIX+ | CW Seattle
401869973,2025,Preseason,STD,preseason,3,Final,2026-04-27,00:00,2026-04-27 00:00:00+00:00,2026-04-26,20:00,2026-04-26 20:00:00-04:00,17,LVA,Las Vegas,Aces,17475,JPN,Japan,JAPAN,Michelob ULTRA Arena,Las Vegas,NV,Vegas 34
401867791,2025,Preseason,STD,preseason,3,Final,2026-04-28,00:00,2026-04-28 00:00:00+00:00,2026-04-27,20:00,2026-04-27 20:00:00-04:00,8,MIN,Minnesota,Lynx,17476,NIGER,Nigeria,NIGERIA,T-Mobile Center,Kansas City,MO,Victory+
401866515,2025,Preseason,STD,preseason,3,Final,2026-04-29,23:00,2026-04-29 23:00:00+00:00,2026-04-29,19:00,2026-04-29 19:00:00-04:00,131935,TOR,Toronto,Tempo,18,CON,Connecticut,Sun,Coca-Cola Coliseum,Toronto,ON,NBATV Canada
401866517,2025,Preseason,STD,preseason,3,Final,2026-04-29,23:00,2026-04-29 23:00:00+00:00,2026-04-29,19:00,2026-04-29 19:00:00-04:00,19,CHI,Chicago,Sky,20,ATL,Atlanta,Dream,Wintrust Arena,Chicago,IL,CW26
401866516,2025,Preseason,STD,preseason,3,Final,2026-04-30,02:00,2026-04-30 02:00:00+00:00,2026-04-29,22:00,2026-04-29 22:00:00-04:00,14,SEA,Seattle,Storm,132052,POR,Portland,Fire,Climate Pledge Arena,Seattle,WA,CW Seattle | Fox 12 Plus
