season,week,start_date,home_team,away_team,venue,conference_game,wx_temp_f,wx_wind_mph,wx_precip_mm,predicted_total_points,predicted_home_points,predicted_away_points,wx_adjust_total,predicted_win_margin,prediction_confidence,weather_temp,weather_wind,weather_adjustment,enrichment_failed,weather_debug_reason,home_conference,away_conference,start_date_api,neutral_site
2025,1,,Prairie View A&M,South Carolina State,Mercedes-Benz Stadium,,,,,,,,,,,,,,True,,SWAC,MEAC,2025-12-13T17:00:00.000Z,True
2025,1,,Washington,Boise State,SoFi Stadium,,,,,,,,,,,55.02,11.5,-1.02,,,Big Ten,Mountain West,2025-12-14T01:00:00.000Z,True
2025,1,,Jacksonville State,Troy,Cramton Bowl,,,,,,,,,,,65.35,4.05,-0.0,,,Conference USA,Sun Belt,2025-12-17T02:00:00.000Z,True
2025,1,,South Florida,Old Dominion,Camping World Stadium,,,,,,,,,,,73.13,8.05,-0.46,,,American Athletic,Sun Belt,2025-12-17T22:00:00.000Z,True
2025,1,,Delaware,Louisiana,Hancock Whitney Stadium,,,,,,,,,,,39.63,6.91,-0.49,,,Conference USA,Sun Belt,2025-12-18T01:30:00.000Z,True
2025,1,,Arkansas State,Missouri State,Ford Center At The Star,,,,,,,,,,,69.3,15.01,-1.5,,,Sun Belt,Conference USA,2025-12-19T02:00:00.000Z,True
2025,1,,Western Michigan,Kennesaw State,Brooks Stadium (SC),,,,,,,,,,,37.26,5.75,-0.34,,,Mid-American,Conference USA,2025-12-19T16:00:00.000Z,True
2025,1,,NC State,Memphis,Raymond James Stadium,,,,,,,,,,,63.46,6.31,-0.2,,,ACC,American Athletic,2025-12-19T19:30:00.000Z,True
2025,1,,Oklahoma,Alabama,"Memorial Stadium (Norman, OK)",,,,,,,,,,,40.37,1.99,-0.2,,,SEC,SEC,2025-12-20T01:00:00.000Z,False
2025,1,,Texas A&M,Miami,Kyle Field,,,,,,,,,,,78.15,9.22,-0.63,,,SEC,ACC,2025-12-20T17:00:00.000Z,False
2025,1,,Wisconsin-River Falls,Johns Hopkins University,David Smith Stadium at Ramer Field,,,,,,,,,,,,,,True,,Wisconsin,Centennial,2025-12-20T18:00:00.000Z,False
2025,1,,Ole Miss,Tulane,Vaught-Hemingway Stadium,,,,,,,,,,,71.38,6.91,-0.29,,,SEC,American Athletic,2025-12-20T20:30:00.000Z,False
2025,1,,Ferris State,Harding University,McKinney ISD Stadium,,,,,,,,,,,,,,True,,GLIAC,Great American,2025-12-20T21:00:00.000Z,True
2025,1,,Montana State,Montana,Bobcat Stadium,,,,,,,,,,,51.21,9.22,-0.72,,,Big Sky,Big Sky,2025-12-20T21:00:00.000Z,False
2025,1,,North Central College,John Carroll University,Benedetti-Wehrli Stadium,,,,,,,,,,,,,,True,,CCIW,Ohio,2025-12-20T21:30:00.000Z,False
2025,1,,Oregon,James Madison,Autzen Stadium,,,,,,,,,,,49.86,8.05,-0.56,,,Big Ten,Sun Belt,2025-12-21T00:30:00.000Z,False
2025,1,,Villanova,Illinois State,Villanova Stadium,,,,,,,,,,,23.72,5.14,-0.38,,,CAA,MVFC,2025-12-21T00:30:00.000Z,False
2025,1,,Utah State,Washington State,Albertsons Stadium,,,,,,,,,,,51.87,12.66,-1.23,,,Mountain West,Pac-12,2025-12-22T19:00:00.000Z,True
2025,1,,Louisville,Toledo,FAU Stadium,,,,,,,,,,,62.55,0.0,-0.0,,,ACC,Mid-American,2025-12-23T19:00:00.000Z,True
2025,1,,Southern Miss,Western Kentucky,Caesars Superdome,,,,,,,,,,,73.15,5.75,-0.11,,,Sun Belt,Conference USA,2025-12-23T22:30:00.000Z,True
2025,1,,Ohio,UNLV,Ford Center At The Star,,,,,,,,,,,43.99,5.75,-0.27,,,Mid-American,Mountain West,2025-12-24T02:00:00.000Z,True
2025,1,,Hawai'i,California,Clarence T.C. Ching Athletics Complex,,,,,,,,,,,53.26,3.78,-0.07,,,Mountain West,ACC,2025-12-25T01:00:00.000Z,False
2025,1,,Northwestern,Central Michigan,Ford Field,,,,,,,,,,,75.04,6.73,-0.26,,,Big Ten,Mid-American,2025-12-26T18:00:00.000Z,True
2025,1,,Minnesota,New Mexico,Chase Field,,,,,,,,,,,38.86,2.73,-0.21,,,Big Ten,Mountain West,2025-12-26T21:30:00.000Z,True
2025,1,,UTSA,Florida International,Gerald J. Ford Stadium,,,,,,,,,,,72.75,5.41,-0.06,,,American Athletic,Conference USA,2025-12-27T01:00:00.000Z,True
2025,1,,East Carolina,Pittsburgh,Navy-Marine Corps Memorial Stadium,,,,,,,,,,,58.95,10.22,-0.79,,,American Athletic,ACC,2025-12-27T16:00:00.000Z,True
2025,1,,Clemson,Penn State,Yankee Stadium,,,,,,,,,,,74.37,1.16,-0.0,,,ACC,Big Ten,2025-12-27T17:00:00.000Z,True
2025,1,,Army,UConn,Fenway Park,,,,,,,,,,,80.58,5.91,-0.14,,,American Athletic,FBS Independents,2025-12-27T19:15:00.000Z,True
2025,1,,BYU,Georgia Tech,Camping World Stadium,,,,,,,,,,,63.03,3.13,-0.0,,,Big 12,ACC,2025-12-27T20:30:00.000Z,True
2025,1,,Fresno State,Miami (OH),Arizona Stadium,,,,,,,,,,,56.61,1.36,-0.03,,,Mountain West,Mid-American,2025-12-27T21:30:00.000Z,True
2025,1,,San Diego State,North Texas,University Stadium (NM),,,,,,,,,,,59.25,9.44,-0.67,,,Mountain West,American Athletic,2025-12-27T22:45:00.000Z,True
2025,1,,Missouri,Virginia,EverBank Stadium,,,,,,,,,,,11.46,4.85,-0.49,,,SEC,ACC,2025-12-28T00:30:00.000Z,True
2025,1,,Houston,LSU,NRG Stadium,,,,,,,,,,,71.83,8.41,-0.51,,,Big 12,SEC,2025-12-28T02:15:00.000Z,True
2025,1,,App State,Georgia Southern,Protective Stadium,,,,,,,,,,,43.75,17.94,-2.1,,,Sun Belt,Sun Belt,2025-12-29T19:00:00.000Z,True
2025,1,,Louisiana Tech,Coastal Carolina,Independence Stadium,,,,,,,,,,,43.14,6.24,-0.35,,,Conference USA,Sun Belt,2025-12-30T19:00:00.000Z,True
2025,1,,Illinois,Tennessee,Nissan Stadium,,,,,,,,,,,71.69,27.4,-3.36,,,Big Ten,SEC,2025-12-30T22:30:00.000Z,True
2025,1,,TCU,USC,Alamodome,,,,,,,,,,,78.75,19.57,-2.19,,,Big 12,Big Ten,2025-12-31T02:00:00.000Z,True
2025,1,,Vanderbilt,Iowa,Raymond James Stadium,,,,,,,,,,,77.52,9.22,-0.63,,,SEC,Big Ten,2025-12-31T17:00:00.000Z,True
2025,1,,Duke,Arizona State,Sun Bowl,,,,,,,,,,,27.34,3.11,-0.33,,,ACC,Big 12,2025-12-31T19:00:00.000Z,True
2025,1,,Texas,Michigan,Camping World Stadium,,,,,,,,,,,81.7,5.44,-0.07,,,SEC,Big Ten,2025-12-31T20:00:00.000Z,True
2025,1,,Utah,Nebraska,Allegiant Stadium,,,,,,,,,,,52.99,16.15,-1.74,,,Big 12,Big Ten,2025-12-31T20:30:00.000Z,True
2025,1,,Ohio State,Miami,AT&T Stadium,,,,,,,,,,,42.49,9.22,-0.81,,,Big Ten,ACC,2026-01-01T00:30:00.000Z,True
2025,1,,Texas Tech,Oregon,Hard Rock Stadium,,,,,,,,,,,84.31,20.71,-2.36,,,Big 12,Big Ten,2026-01-01T17:00:00.000Z,True
2025,1,,Indiana,Alabama,Rose Bowl,,,,,,,,,,,39.6,5.75,-0.32,,,Big Ten,SEC,2026-01-01T21:00:00.000Z,True
2025,1,,Georgia,Ole Miss,Caesars Superdome,,,,,,,,,,,16.29,8.01,-0.89,,,SEC,SEC,2026-01-02T01:00:00.000Z,True
2025,1,,Texas State,Rice,Amon G. Carter Stadium,,,,,,,,,,,77.49,12.66,-1.15,,,Sun Belt,American Athletic,2026-01-02T18:00:00.000Z,True
2025,1,,Cincinnati,Navy,Simmons Bank Liberty Stadium,,,,,,,,,,,52.18,8.05,-0.54,,,Big 12,American Athletic,2026-01-02T21:30:00.000Z,True
2025,1,,Mississippi State,Wake Forest,Bank of America Stadium,,,,,,,,,,,73.4,6.91,-0.29,,,SEC,ACC,2026-01-03T01:00:00.000Z,True
2025,1,,SMU,Arizona,Snapdragon Stadium,,,,,,,,,,,21.94,16.31,-2.08,,,ACC,Big 12,2026-01-03T01:00:00.000Z,True
2025,1,,North Central College,Wisconsin-River Falls,Tom Benson Hall of Fame Stadium,,,,,,,,,,,,,,True,,CCIW,Wisconsin,2026-01-05T01:00:00.000Z,True
2025,1,,Montana State,Illinois State,FirstBank Stadium,,,,,,,,,,,51.21,9.22,-0.72,,,Big Sky,MVFC,2026-01-06T00:30:00.000Z,True
2025,1,2025-08-23 16:00:00+00:00,Kansas State,Iowa State,Aviva Stadium,True,57.92,12.9866539,0.0,45.25060262099223,26.114889981915304,17.693195395065864,-0.926798851,8.42169458684944,medium,64.22,11.5,-0.97,True,,,,,
2025,1,2025-08-23 17:00:00+00:00,Nicholls,Incarnate Word,Manning Field at John L. Guidry Stadium,True,,,,54.07316390965916,21.392173336534192,29.952388553612963,0.0,-8.56021521707877,medium,71.6,5.75,-0.11,False,,,,,
2025,1,2025-08-23 20:00:00+00:00,UNLV,Idaho State,Allegiant Stadium,False,93.56,10.0662102,0.0,58.82444476351237,31.731029761873067,27.88748708615161,-0.4559589180000001,3.8435426757214586,medium,82.45,14.97,-1.5,False,,,,,
2025,1,2025-08-23 20:30:00+00:00,Portland State,Tarleton State,Hillsboro Stadium,False,89.41999999999999,8.7613311,0.0,63.140934570830325,31.5377107219007,30.39058791456508,-0.3385197989999999,1.14712280733562,medium,56.48,1.01,-0.04,False,,,,,
2025,1,2025-08-23 22:30:00+00:00,Kansas,Fresno State,Memorial Stadium,False,78.08,6.5865326,0.0,56.56277663438672,22.36837045488001,32.45555171834122,-0.142787934,-10.087181263461204,medium,69.89,8.57,-0.54,False,,,,,
2025,1,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,Houchens Industries-L.T. Smith Stadium,True,,,,49.26932977977256,24.63523762379813,23.39782804465038,0.0,1.2374095791477444,medium,78.75,5.75,-0.11,True,no_location,,,,
2025,1,2025-08-23 23:00:00+00:00,Mercer,UC Davis,Cramton Bowl,False,71.24000000000001,2.0505243,0.6,55.833574377549205,30.25904987112436,24.244351016656697,0.0,6.014698854467657,medium,54.45,6.33,-0.26,False,,,,,
2025,1,2025-08-23 23:30:00+00:00,Southern,North Carolina Central,Center Parc Stadium,False,75.56,4.7224196,0.0,56.29484993949114,27.149540830348087,23.56307644147203,0.0,3.586464388876056,medium,70.43,9.22,-0.63,False,,,,,
2025,1,2025-08-23 23:30:00+00:00,Hawai'i,Stanford,Clarence T.C. Ching Athletics Complex,False,89.78,8.7613311,0.0,42.3847486734871,17.042483683122057,26.091466796918017,-0.3385197989999999,-9.04898311379596,medium,49.26,2.15,-0.11,False,,,,,
2025,1,2025-08-28 04:00:00+00:00,Norfolk State,Towson,"William Dick"""" Price Stadium""""",False,67.46,4.970968,0.0,52.96372153910416,22.25193295833971,26.55050445264786,0.0,-4.298571494308149,medium,,,,True,,,,,
2025,1,2025-08-28 04:00:00+00:00,San Diego State,Stony Brook,Snapdragon Stadium,False,76.46,2.8583066,0.0,42.67418357296163,25.2521268529279,14.986431266466337,0.0,10.265695586461565,medium,82.87,11.5,-0.97,True,no_location,,,,
2025,1,2025-08-28 19:00:00+00:00,Central Washington,Colorado Mesa,Tomlinson Stadium,False,86.53999999999999,2.2369356,0.0,52.75551256781088,29.912821405999367,18.735012911215307,0.0,11.17780849478406,medium,,,,True,,,,,
2025,1,2025-08-28 21:30:00+00:00,South Florida,Boise State,Raymond James Stadium,False,84.56,4.1010486,0.0,59.82830903012908,21.33740664772113,40.96944703488598,0.0,-19.63204038716485,medium,82.26,0.0,-0.0,True,no_location,,,,
2025,1,2025-08-28 22:00:00+00:00,Clarion,Wheeling,"Memorial Stadium (Clarion, PA)",False,57.74,8.077823,0.1,49.50559637248983,12.301428969489884,36.52048995631499,-0.5030040699999998,-24.219060986825102,medium,58.93,14.97,-1.51,False,,,,,
2025,1,2025-08-28 22:00:00+00:00,Rutgers,Ohio,SHI Stadium,False,69.98,6.337984199999999,0.0,53.71392298407405,17.26535376732463,33.05151267282656,-0.1204185779999999,-15.786158905501932,medium,65.61,5.75,-0.11,False,,,,,
2025,1,2025-08-28 22:00:00+00:00,Youngstown State,Mercyhurst,Stambaugh Stadium,False,58.64,5.7787503000000005,0.0,49.50903764195696,28.50645228557508,20.725186048604417,-0.206087527,7.781266236970659,medium,60.91,3.44,-0.0,False,,,,,
