game_id,season,week,home_team,away_team,home_score_mean,away_score_mean,margin_mean,total_mean,margin_stdev,total_stdev,home_win_rate,seeds_used,profile_name,rating_source,generated_at,nonstarter_participation_share,shrinkage_applied,uncertainty_note
401773019,2025,4,CAR,PIT,22.873,21.18,1.693,44.053,26.811,23.45,0.5533,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:26.983524+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401772974,2025,4,NYG,NE,22.8,21.007,1.793,43.807,26.992,24.009,0.5533,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:31.480366+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401772997,2025,4,NYJ,PHI,23.173,21.48,1.693,44.653,27.593,22.682,0.5533,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:35.937471+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401773008,2025,4,DAL,ATL,22.66,21.093,1.567,43.753,27.272,23.593,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:40.369911+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401772975,2025,4,TEN,MIN,22.793,21.38,1.413,44.173,26.137,24.132,0.5333,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:44.805567+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401773004,2025,4,KC,CHI,22.727,20.447,2.28,43.173,27.141,24.007,0.5733,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:49.205826+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401777124,2025,4,WSH,BAL,23.187,21.053,2.133,44.24,27.246,22.657,0.5733,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/prior_season_fallback],2026-08-05T16:33:53.619068+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401772998,2025,4,CIN,IND,23.047,20.853,2.193,43.9,27.37,23.204,0.58,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:33:58.055428+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401772999,2025,4,CLE,LAR,22.56,21.147,1.413,43.707,26.135,24.779,0.5267,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/neutral_no_data],2026-08-05T16:34:02.483661+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401776265,2025,4,DET,HOU,22.707,20.46,2.247,43.167,27.224,23.514,0.58,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[prior_season_fallback/prior_season_fallback],2026-08-05T16:34:06.902105+00:00,0.92,0.92,Preseason projection for Preseason Week 3 (final cuts) -- ratings shrunk toward league-neutral by 92% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
