game_id,season,week,home_team,away_team,home_score_mean,away_score_mean,margin_mean,total_mean,margin_stdev,total_stdev,home_win_rate,seeds_used,profile_name,rating_source,generated_at,nonstarter_participation_share,shrinkage_applied,uncertainty_note
401547661,2023,3,PHI,CLE,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:29.283467+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401550834,2023,3,NYG,CAR,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:33.768705+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401548625,2023,3,ATL,CIN,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:38.229980+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401548621,2023,3,DET,JAX,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:42.635542+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401547665,2023,3,HOU,MIA,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:47.132223+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401547662,2023,3,PIT,BUF,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:51.681271+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401547664,2023,3,IND,CHI,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:23:56.172187+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401550836,2023,3,NYJ,TB,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:24:00.728102+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401549211,2023,3,GB,NE,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:24:05.537801+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
401548507,2023,3,MIN,TEN,22.873,20.947,1.927,43.82,21.879,18.736,0.56,150,nfl_preseason_v1,nflverse_pbp_epa_prior_season_shrunk[neutral_no_data/neutral_no_data],2026-08-05T16:24:11.349066+00:00,0.55,0.55,Preseason projection for Preseason Week 2 (dress rehearsal) -- ratings shrunk toward league-neutral by 55% to reflect expected backup/bubble-player snaps this week; treat with much lower confidence than a regular-season projection.
